linha,codigo_linha,circular,sentido,letreiro_ida,letreiro_volta,id_veiculo,acessivel,latitude,longitude,data_hora
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11513,true,-23.523026625,-46.65331412500001,2019-04-22T01:31:51.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.474438499999998,-46.669928999999996,2019-04-22T01:31:25.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11510,true,-23.4814625,-46.6731145,2019-04-22T01:31:40.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11514,true,-23.535916937499998,-46.642886312499996,2019-04-22T01:31:35.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11511,true,-23.49057225,-46.67567325,2019-04-22T01:31:59.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11513,true,-23.521901937499997,-46.6637739375,2019-04-22T01:35:53.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.4742495,-46.669781,2019-04-22T01:35:55.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11510,true,-23.474438499999998,-46.669928999999996,2019-04-22T01:35:45.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11514,true,-23.54233,-46.6381755,2019-04-22T01:35:53.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11511,true,-23.5023025,-46.6728395,2019-04-22T01:35:44.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11513,true,-23.51437,-46.666582500000004,2019-04-22T01:39:32.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.4742495,-46.669781,2019-04-22T01:39:40.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11514,true,-23.5429035,-46.636326499999996,2019-04-22T01:39:18.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11511,true,-23.5072215,-46.6709805,2019-04-22T01:39:30.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11514,true,-23.540383499999997,-46.6363665,2019-04-22T01:43:47.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11513,true,-23.50524975,-46.67300725,2019-04-22T01:43:16.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.474438499999998,-46.669928999999996,2019-04-22T01:43:25.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11511,true,-23.520135,-46.667555,2019-04-22T01:44:00.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11514,true,-23.539666875,-46.640035125000004,2019-04-22T01:47:45.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11513,true,-23.4938855,-46.67772025,2019-04-22T01:47:46.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.474438499999998,-46.669928999999996,2019-04-22T01:47:56.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11511,true,-23.522620125,-46.6599845,2019-04-22T01:47:49.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11514,true,-23.533041125,-46.644789875,2019-04-22T01:51:26.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11513,true,-23.4805615,-46.673156,2019-04-22T01:51:33.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11511,true,-23.528178249999996,-46.64817225,2019-04-22T01:51:51.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11512,true,-23.4742955,-46.667987624999995,2019-04-22T01:51:40.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11514,true,-23.52299075,-46.652158500000006,2019-04-22T01:55:57.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11513,true,-23.4742495,-46.669781,2019-04-22T01:55:17.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11511,true,-23.535916937499998,-46.642886312499996,2019-04-22T01:55:18.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11512,true,-23.482777750000004,-46.673474999999996,2019-04-22T01:55:26.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11514,true,-23.521901937499997,-46.6637739375,2019-04-22T01:59:56.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11513,true,-23.4742495,-46.669781,2019-04-22T01:59:47.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11511,true,-23.54233,-46.6381755,2019-04-22T01:59:55.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11512,true,-23.498789000000002,-46.6751945,2019-04-22T01:59:56.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11514,true,-23.5130595,-46.666396,2019-04-22T02:03:19.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11513,true,-23.4749005,-46.670119,2019-04-22T02:03:33.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11511,true,-23.5428785,-46.6361965,2019-04-22T02:03:34.000Z
